year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Nissan,Frontier,S,King Cab,automatic,1n6bd0ct2dn738942,ca,19.0,20893.0,white,gray,santander consumer,13750.0,9000.0,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2013,Subaru,Forester,2.5X PZEV,SUV,automatic,jf2shaac3dh434616,ca,35.0,60564.0,—,gray,wheels exchange llc,15200.0,14000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwfp7atxdm663759,ca,37.0,40250.0,gray,black,avis corporation,11300.0,11600.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap2dl563260,ca,27.0,29258.0,white,beige,santander consumer,11650.0,10500.0,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2013,Toyota,Venza,LE,Wagon,automatic,4t3za3bb6du074111,ca,36.0,38288.0,white,beige,avis rac/san leandro,16850.0,17100.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,S,Sedan,,3n1ab7ap0dl664331,ca,33.0,54019.0,purple,black,nissan motor acceptance corporation,10500.0,9500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,CC,R-Line PZEV,Sedan,automatic,wvwbp7an9de566450,ca,1.0,24369.0,black,black,vw credit,16350.0,13100.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du6d1643123,ca,43.0,68829.0,white,black,i auto sales inc,13550.0,14600.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Venza,LE,Wagon,automatic,4t3za3bb5du071636,ca,4.0,38759.0,white,beige,avis corporation,17250.0,17500.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Highlander,Limited,SUV,automatic,5tdyk3eh7ds099402,ca,3.0,39900.0,white,black,toyota financial services,28300.0,28000.0,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2013,Nissan,Altima,3.5 SL,Sedan,automatic,1n4bl3ap5dn530167,ca,42.0,20906.0,white,gray,nissan-infiniti lt,16850.0,17750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap7dl890253,ca,42.0,15343.0,gray,black,santander consumer,10400.0,11000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Avalon,Limited,Sedan,automatic,4t1bk1eb6du056909,ca,1.0,34549.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,23200.0,15500.0,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2013,Nissan,Altima,3.5 SL,Sedan,automatic,1n4bl3ap2dn471000,ca,44.0,26165.0,—,black,nissan-infiniti lt,16650.0,17250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwap7a36dc079449,ca,,10628.0,white,—,volkswagen of stockton,12050.0,10600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj4dm404030,ca,38.0,39931.0,black,black,avis rac/san leandro,11050.0,11700.0,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Subaru,Impreza,2.0i Sport Limited PZEV,Hatchback,automatic,jf1gpau61d2835586,ca,,20091.0,silver,black,audi san diego,19300.0,18500.0,Wed Dec 17 2014 12:45:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,,3n1cn7ap2dl879936,ca,2.0,34561.0,white,black,hertz damaged liquidation,9750.0,6000.0,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Altima,3.5 SL,Sedan,automatic,1n4bl3ap0dn463283,ca,43.0,16417.0,silver,black,nissan north america inc.,17050.0,16250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a35dc068561,ca,26.0,35303.0,gray,black,avis corporation,13300.0,13300.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,SE,Sedan,automatic,1vwbh7a31dc025977,ca,1.0,24954.0,—,black,vw credit,14250.0,11100.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Tacoma,V6,Double Cab,automatic,3tmmu4fn0dm052604,ca,41.0,39631.0,white,gray,american road leasing inc,25800.0,27000.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Nissan,Xterra,S,SUV,automatic,5n1an0nu5dn818622,ca,5.0,4423.0,white,gray,nissan north america inc.,18400.0,18000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Subaru,Impreza WRX,STI,Sedan,manual,jf1gv8j62dl008418,ca,35.0,22006.0,blue,black,showcase wholesale auto llc,31200.0,29000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Cube,1.8 SL,Wagon,automatic,jn8az2kr6dt300653,ca,4.0,36297.0,silver,black,jpmorgan chase bank n.a.,11500.0,12300.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,5tdkk3dc0ds344066,ca,34.0,63250.0,burgundy,beige,the hertz corporation,15900.0,16600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
